shift_id,helper_id,membership_community_name,membership_funding_scheme,membership_custom_funding_scheme_name,visits_in_combo,revenue_in_combo,projected_hours_in_combo,actual_hours_in_combo
1990660.0,38615,Sydney - Hills,dva,,3,0.0,2.31,2.31
1990671.0,38613,State - NSW,dva,,5,0.0,3.85,3.85
1990671.0,38613,State - NSW,private_funding,,1,88.0,1.0,1.0
1990671.0,38613,Sydney - Parramatta,custom,Brokerage,1,168.0,2.0,2.0
1990689.0,38625,Sydney - East,dva,,1,0.0,12.0,12.0
1990691.0,50670,State - NSW,dva,,3,0.0,2.31,2.31
1990701.0,38913,State - NSW,custom,Brokerage,1,165.0,2.0,2.0
1990701.0,38913,State - NSW,dva,,3,0.0,2.31,2.31
1990717.0,51366,Stream - NSW Aged Care,hcp,,1,324.0,3.0,3.0
1990722.0,38877,State - NSW,dva,,1,0.0,0.77,0.77
1990722.0,38877,Sydney - Hills,dva,,3,0.0,2.31,2.31
1990732.0,66512,NSW - CM - Maryam Shamoon,dva,,1,0.0,0.52,0.52
1990732.0,66512,State - NSW,dva,,2,0.0,0.78,0.78
1990733.0,66512,State - NSW,dva,,9,0.0,4.9,4.9
1990733.0,66512,Stream - NSW Aged Care,hcp,,1,114.0,1.0,1.0
1990733.0,66512,Sydney - St George,hcp,,2,342.0,3.0,3.0
1990745.0,50981,NSW - CM - Tracey Isles,ndis,,1,140.46,2.0,2.0
1990745.0,50981,State - NSW,ndis,,1,70.23,1.0,1.0
1990748.0,38662,State - NSW,dva,,1,0.0,0.77,0.77
1990748.0,38662,State - NSW,hcp,,2,444.0,4.0,4.0
1990748.0,38662,State - NSW,private_funding,,1,0.0,0.08,0.08
1990761.0,38912,State - NSW,dva,,4,0.0,2.04,2.04
1990761.0,38912,Stream - NSW Aged Care,hcp,,1,228.0,2.0,2.0
1990766.0,51149,State - NSW,custom,Insurer,2,2781.2,12.0,12.0
1990768.0,51149,State - NSW,custom,Insurer,2,2874.84,12.0,12.0
1990801.0,66512,NSW Aged Care Team Pink,hcp,,1,114.0,1.0,1.0
1990801.0,66512,State - NSW,dva,,3,0.0,1.29,1.29
1990801.0,66512,Sydney - St George,hcp,,1,114.0,1.0,1.0
1990863.0,38912,NSW - CM - Maryam Shamoon,vhc,,1,0.0,0.5,0.5
1990863.0,38912,State - NSW,dva,,8,0.0,5.13,5.13
1990863.0,38912,Stream - NSW Aged Care,hcp,,1,114.0,1.0,1.0
1990866.0,51137,State - NSW,custom,Insurer,3,2657.42,11.0,11.0
1990867.0,51137,State - NSW,custom,Insurer,3,2657.42,11.0,11.0
1990869.0,51137,State - NSW,custom,Insurer,3,2657.42,11.0,11.0
1990871.0,51223,NSW - CEM - Katie Hansen,ndis,,2,295.22,4.0,4.0
1990873.0,72148,Sydney - East,dva,,1,0.0,12.0,12.0
1990877.0,50922,NSW - CM - Waseem Hasan,ndis,,4,1183.42,14.0,14.0
1990884.0,38615,NSW - CEM - Jackie Stephenson,hcp,,2,322.02,2.93,2.93
1990884.0,38615,Sydney - Hills,dva,,3,0.0,2.31,2.31
1990912.0,56232,State - NSW,dva,,2,0.0,1.54,1.54
1999709.0,38616,NSW - CM - Paola San Miguel,dva,,2,0.0,1.04,1.04
1999709.0,38616,State - NSW,dva,,3,0.0,2.31,2.31
1999909.0,38590,State - NSW,hcp,,2,330.0,3.0,3.0
2003604.0,61059,State - NSW,private_funding,,1,825.0,10.0,10.0
2005123.0,38877,State - NSW,dva,,1,0.0,0.77,0.77
2005123.0,38877,Sydney - Hills,dva,,2,0.0,1.54,1.54
2009668.0,38814,State - NSW,dva,,1,0.0,12.0,12.0
2009669.0,38791,State - NSW,dva,,1,0.0,12.0,12.0
2009675.0,38700,State - NSW,dva,,1,0.0,12.0,12.0
2009680.0,38880,State - NSW,dva,,1,0.0,12.0,12.0
2009712.0,38757,Sydney - East,dva,,1,0.0,12.0,12.0
2009715.0,38865,State - NSW,dva,,1,0.0,12.0,12.0
2009716.0,38789,State - NSW,dva,,1,0.0,12.0,12.0
2009724.0,38813,State - NSW,dva,,1,0.0,12.0,12.0
2009733.0,38604,State - NSW,dva,,1,0.0,12.0,12.0
2009734.0,38727,State - NSW,dva,,1,0.0,12.0,12.0
2009736.0,38852,State - NSW,dva,,1,0.0,12.0,12.0
2009742.0,38805,State - NSW,dva,,1,0.0,12.0,12.0
2009763.0,38598,State - NSW,dva,,1,0.0,12.0,12.0
2009777.0,50670,State - NSW,dva,,2,0.0,1.54,1.54
2009777.0,50670,State - NSW,vhc,,1,0.0,2.5,2.5
2009779.0,38721,State - NSW,dva,,1,0.0,12.0,12.0
2009782.0,38840,NSW - CM - Maryam Shamoon,dva,,1,0.0,12.0,12.0
2009784.0,38781,Sydney - South West,dva,,1,0.0,12.0,12.0
2009829.0,38649,Sydney - East,dva,,1,0.0,12.0,12.0
2009830.0,50981,NSW - CM - Tracey Isles,ndis,,1,140.46,2.0,2.0
2009830.0,50981,State - NSW,ndis,,1,70.23,1.0,1.0
2009834.0,38621,State - NSW,dva,,3,0.0,2.07,2.07
2009834.0,38621,Sydney - Nepean,dva,,3,0.0,2.31,2.31
2009842.0,38761,State - NSW,dva,,1,0.0,12.0,12.0
2009901.0,38917,State - NSW,dva,,1,0.0,12.0,12.0
2010009.0,38888,State - NSW,dva,,1,0.0,12.0,12.0
2010034.0,38615,NSW - CEM - Jackie Stephenson,hcp,,2,330.0,3.0,3.0
2010034.0,38615,State - NSW,hcp,,1,114.0,1.0,1.0
2010034.0,38615,Sydney - Hills,dva,,2,0.0,1.54,1.54
2010050.0,56232,State - NSW,dva,,3,0.0,2.31,2.31
2013695.0,41896,State - NSW,dva,,7,0.0,5.14,5.14
2013695.0,41896,State - NSW,vhc,,1,0.0,1.25,1.25
2014589.0,38791,State - NSW,dva,,1,0.0,12.0,12.0
2014594.0,38564,State - NSW,dva,,1,0.0,0.52,0.52
2014595.0,38779,State - NSW,dva,,1,0.0,12.0,12.0
2014603.0,38880,State - NSW,dva,,1,0.0,12.0,12.0
2014611.0,38758,State - NSW,dva,,1,0.0,12.0,12.0
2014616.0,38735,State - NSW,dva,,1,0.0,12.0,12.0
2014623.0,38792,State - NSW,dva,,1,0.0,12.0,12.0
2014624.0,38610,State - NSW,dva,,5,0.0,1.75,1.75
2014631.0,38761,State - NSW,dva,,1,0.0,12.0,12.0
2014641.0,38757,State - NSW,dva,,1,0.0,12.0,12.0
2014642.0,38729,State - NSW,dva,,1,0.0,12.0,12.0
2014651.0,38604,State - NSW,dva,,1,0.0,12.0,12.0
2014653.0,38727,State - NSW,dva,,1,0.0,12.0,12.0
2014654.0,38754,State - NSW,dva,,1,0.0,12.0,12.0
2014657.0,38852,State - NSW,dva,,1,0.0,12.0,12.0
2014658.0,38635,State - NSW,dva,,1,0.0,12.0,12.0
2014661.0,38750,State - NSW,dva,,1,0.0,12.0,12.0
2014681.0,38598,State - NSW,dva,,1,0.0,12.0,12.0
2014682.0,38811,Sydney - South West,dva,,1,0.0,12.0,12.0
2014683.0,38654,State - NSW,dva,,3,0.0,2.31,2.31
2014683.0,38654,State - NSW,hcp,,1,145.0,1.0,1.0
2014683.0,38654,Stream - NSW Aged Care,hcp,,1,217.5,1.5,1.5
2014685.0,38613,State - NSW,dva,,2,0.0,1.54,1.54
2014685.0,38613,State - NSW,hcp,,2,444.0,4.0,4.0
2014685.0,38613,Sydney - Parramatta,custom,Brokerage,1,168.0,2.0,2.0
2014699.0,38655,State - NSW,hcp,,1,278.0,2.0,2.0
2014700.0,38655,State - NSW,hcp,,1,145.0,1.0,1.0
2014711.0,38814,State - NSW,dva,,1,0.0,12.0,12.0
2014721.0,38671,State - NSW,dva,,5,0.0,2.68,2.68
2014721.0,38671,Stream - NSW Aged Care,hcp,,2,228.0,2.0,2.0
2014729.0,64630,State - NSW,dva,,1,0.0,12.0,12.0
2014730.0,38658,NSW - CM - Maryam Shamoon,dva,,1,0.0,0.52,0.52
2014730.0,38658,State - NSW,dva,,5,0.0,2.59,2.59
2014734.0,51358,NSW - CM - Tracey Isles,ndis,,1,691.81,7.0,7.0
2014756.0,38917,State - NSW,dva,,1,0.0,12.0,12.0
2024300.0,38662,State - NSW,dva,,1,0.0,0.77,0.77
2024300.0,38662,State - NSW,hcp,,3,558.0,5.0,5.0
2024301.0,38662,State - NSW,dva,,1,0.0,0.77,0.77
2024301.0,38662,State - NSW,hcp,,2,342.0,3.0,3.0
2024881.0,38913,State - NSW,dva,,3,0.0,1.2,1.2
2024881.0,38913,Stream - NSW Aged Care,hcp,,1,114.0,1.0,1.0
2024889.0,38839,State - NSW,dva,,2,0.0,12.0,12.0
2024899.0,38709,State - NSW,dva,,1,0.0,12.0,12.0
2024902.0,38912,State - NSW,dva,,1,0.0,0.77,0.77
2024902.0,38912,State - NSW,hcp,,1,114.0,1.0,1.0
2024904.0,38779,State - NSW,dva,,1,0.0,12.0,12.0
2024908.0,38859,State - NSW,dva,,1,0.0,10.0,10.0
2024919.0,38910,State - NSW,dva,,1,0.0,12.0,12.0
2024928.0,38849,State - NSW,dva,,2,0.0,13.0,13.0
2024936.0,38735,State - NSW,dva,,1,0.0,12.0,12.0
2024938.0,38627,State - NSW,dva,,7,0.0,4.05,4.05
2024938.0,38627,Sydney - Sutherland,dva,,1,0.0,0.35,0.35
2024950.0,38792,State - NSW,dva,,1,0.0,12.0,12.0
2024959.0,38926,State - NSW,dva,,1,0.0,12.0,12.0
2024969.0,38921,State - NSW,dva,,1,0.0,12.0,12.0
2024971.0,38832,State - NSW,dva,,1,0.0,12.0,12.0
2024972.0,38944,State - NSW,brokerage_hcp,,1,253.0,1.0,1.0
2024972.0,38944,State - NSW,dva,,4,0.0,1.4,1.4
2024972.0,38944,State - NSW,ndis,,1,123.65,1.0,1.0
2024974.0,38610,State - NSW,dva,,4,0.0,1.63,1.63
2024975.0,38877,State - NSW,dva,,1,0.0,0.77,0.77
2024975.0,38877,Sydney - Hills,dva,,3,0.0,2.31,2.31
2024985.0,38913,State - NSW,custom,Brokerage,1,165.0,2.0,2.0
2024985.0,38913,State - NSW,dva,,2,0.0,0.85,0.85
2024985.0,38913,Stream - NSW Aged Care,hcp,,1,114.0,1.0,1.0
2025013.0,38788,State - NSW,dva,,1,0.0,12.0,12.0
2025016.0,38754,State - NSW,dva,,1,0.0,12.0,12.0
2025022.0,38635,State - NSW,dva,,1,0.0,12.0,12.0
2025038.0,38679,State - NSW,dva,,5,0.0,1.75,1.75
2025038.0,38679,Sydney - Nepean,dva,,2,0.0,1.35,1.35
2025039.0,38710,State - NSW,dva,,1,0.0,12.0,12.0
2025040.0,38844,Sydney - South West,dva,,1,0.0,12.0,12.0
2025041.0,46732,State - NSW,dva,,1,0.0,12.0,12.0
2025046.0,38944,State - NSW,dva,,8,0.0,3.49,3.49
2025056.0,38625,State - NSW,dva,,2,0.0,12.77,12.77
2025057.0,50670,State - NSW,dva,,3,0.0,2.29,2.29
2025061.0,38655,State - NSW,hcp,,1,185.0,1.0,1.0
2025062.0,58668,State - NSW,dva,,2,0.0,1.54,1.54
2025062.0,58668,Sydney - Hills,dva,,2,0.0,1.02,1.02
2025062.0,58668,Sydney - Hills,vhc,,1,0.0,2.0,2.0
2025063.0,38877,State - NSW,dva,,1,0.0,0.77,0.77
2025063.0,38877,Sydney - Hills,dva,,3,0.0,2.31,2.31
2025069.0,38629,NSW - CEM - Jackie Stephenson,hcp,,1,278.0,2.0,2.0
2025069.0,38629,State - NSW,dva,,1,0.0,0.77,0.77
2025070.0,38613,State - NSW,hcp,,2,423.0,3.0,3.0
2025071.0,38615,NSW - CEM - Jackie Stephenson,hcp,,1,145.0,1.0,1.0
2025071.0,38615,Sydney - Hills,dva,,2,0.0,1.54,1.54
2025075.0,38629,NSW - CEM - Jackie Stephenson,hcp,,2,523.0,3.0,3.0
2025075.0,38629,State - NSW,dva,,1,0.0,0.77,0.77
2025086.0,38831,State - NSW,dva,,1,0.0,12.0,12.0
2025100.0,38625,Sydney - East,dva,,1,0.0,12.0,12.0
2025111.0,38913,State - NSW,custom,Brokerage,1,165.0,2.0,2.0
2025111.0,38913,State - NSW,dva,,3,0.0,2.31,2.31
2025126.0,38913,State - NSW,dva,,2,0.0,0.85,0.85
2025126.0,38913,Stream - NSW Aged Care,hcp,,1,114.0,1.0,1.0
2025135.0,51366,Stream - NSW Aged Care,hcp,,3,545.4,5.0,5.0
2025141.0,38877,State - NSW,dva,,1,0.0,0.77,0.77
2025141.0,38877,Sydney - Hills,dva,,3,0.0,2.31,2.31
2025142.0,59395,State - NSW,dva,,5,0.0,1.75,1.75
2025144.0,38936,NSW - CM - Maryam Shamoon,dva,,1,0.0,0.77,0.77
2025144.0,38936,State - NSW,brokerage_hcp,,1,88.0,1.0,1.0
2025144.0,38936,State - NSW,dva,,3,0.0,1.81,1.81
2025146.0,38665,NSW - CEM - Katie Hansen,ndis,,1,70.23,1.0,1.0
2025146.0,38665,State - NSW,dva,,1,0.0,0.77,0.77
2025146.0,38665,State - NSW,private_funding,,1,88.0,1.0,1.0
2025146.0,38665,Stream - NSW Aged Care,hcp,,1,171.0,1.5,1.5
2025152.0,66512,State - NSW,dva,,5,0.0,2.59,2.59
2025153.0,66512,NSW - CM - Maryam Shamoon,dva,,1,0.0,0.52,0.52
2025153.0,66512,State - NSW,dva,,3,0.0,1.3,1.3
2025164.0,38662,State - NSW,dva,,1,0.0,0.77,0.77
2025164.0,38662,State - NSW,hcp,,2,444.0,4.0,4.0
2025164.0,38662,State - NSW,private_funding,,1,0.0,0.08,0.08
2025171.0,51358,NSW - CM - Tracey Isles,ndis,,1,892.01,7.0,7.0
2025172.0,38912,State - NSW,dva,,1,0.0,0.52,0.52
2025172.0,38912,Stream - NSW Aged Care,hcp,,1,228.0,2.0,2.0
2025175.0,38804,State - NSW,dva,,1,0.0,12.0,12.0
2025176.0,38658,NSW - CM - Maryam Shamoon,dva,,1,0.0,0.52,0.52
2025176.0,38658,State - NSW,dva,,3,0.0,1.3,1.3
2025182.0,51149,State - NSW,custom,Insurer,2,2781.2,12.0,12.0
2025183.0,51149,State - NSW,custom,Insurer,3,2908.52,12.5,12.5
2025200.0,66512,NSW Aged Care Team Pink,hcp,,1,114.0,1.0,1.0
2025200.0,66512,State - NSW,dva,,1,0.0,0.52,0.52
2025200.0,66512,State - NSW,hcp,,1,114.0,1.0,1.0
2025200.0,66512,Sydney - St George,hcp,,1,114.0,1.0,1.0
2025232.0,38662,State - NSW,ndis,,1,421.38,6.0,6.0
2025242.0,38912,NSW - CM - Maryam Shamoon,vhc,,1,0.0,0.5,0.5
2025242.0,38912,State - NSW,dva,,4,0.0,2.83,2.83
2025242.0,38912,Stream - NSW Aged Care,hcp,,1,114.0,1.0,1.0
2025248.0,51137,State - NSW,custom,Insurer,3,2657.42,11.0,11.0
2025249.0,51137,State - NSW,custom,Insurer,3,2657.42,11.0,11.0
2025250.0,51223,NSW - CEM - Katie Hansen,ndis,,2,295.22,4.0,4.0
2025252.0,72148,Sydney - East,dva,,1,0.0,12.0,12.0
2025261.0,38931,State - NSW,dva,,2,0.0,12.0,12.0
2025294.0,56232,State - NSW,dva,,3,0.0,2.31,2.31
2025294.0,56232,Sydney - Hills,dva,,1,0.0,0.77,0.77
2025295.0,56232,State - NSW,dva,,1,0.0,0.77,0.77
2025295.0,56232,State - NSW,vhc,,1,0.0,1.25,1.25
2025298.0,56232,State - NSW,dva,,3,0.0,2.31,2.31
2025397.0,38599,NSW - CM - Paola San Miguel,dva,,1,0.0,0.33,0.33
2025397.0,38599,State - NSW,dva,,6,0.0,2.02,2.02
2026680.0,38564,State - NSW,dva,,1,0.0,0.52,0.52
2026713.0,38867,State - NSW,dva,,1,0.0,12.0,12.0
2026715.0,38906,Sydney - South West,dva,,1,0.0,12.0,12.0
2026717.0,38655,State - NSW,dva,,1,0.0,12.0,12.0
2026724.0,38709,State - NSW,dva,,1,0.0,12.0,12.0
2026730.0,38826,State - NSW,dva,,4,0.0,4.0,4.0
2026730.0,38826,Sydney - Hills,hcp,,1,216.0,2.0,2.0
2026736.0,38699,State - NSW,dva,,1,0.0,12.0,12.0
2026748.0,38762,State - NSW,dva,,1,0.0,12.0,12.0
2026768.0,38749,State - NSW,dva,,1,0.0,12.0,12.0
2026771.0,38766,State - NSW,dva,,1,0.0,12.0,12.0
2026802.0,38727,State - NSW,dva,,1,0.0,12.0,12.0
2026805.0,38804,NSW - CM - Maryam Shamoon,dva,,1,0.0,12.0,12.0
2026806.0,38754,State - NSW,dva,,1,0.0,12.0,12.0
2026823.0,38844,Sydney - South West,dva,,1,0.0,12.0,12.0
2026824.0,46732,State - NSW,dva,,1,0.0,12.0,12.0
2026827.0,38604,State - NSW,dva,,1,0.0,12.0,12.0
2026856.0,58668,State - NSW,dva,,2,0.0,1.54,1.54
2026856.0,58668,Sydney - Hills,dva,,1,0.0,0.77,0.77
2026863.0,38590,State - NSW,hcp,,1,124.0,1.0,1.0
2026864.0,44202,State - NSW,dva,,1,0.0,12.0,12.0
2026880.0,38662,State - NSW,dva,,1,0.0,0.77,0.77
2026880.0,38662,State - NSW,hcp,,2,444.0,4.0,4.0
2026880.0,38662,State - NSW,private_funding,,1,0.0,4.0,4.0
2026884.0,38665,State - NSW,dva,,2,0.0,1.54,1.54
2026884.0,38665,State - NSW,hcp,,1,216.0,2.0,2.0
2026889.0,51519,State - NSW,ndis,,1,386.26,5.5,5.5
2026890.0,51004,State - NSW,ndis,,2,222.19,3.0,3.0
2026895.0,59287,State - NSW,dva,,2,0.0,1.52,1.52
2026895.0,59287,Sydney - Hills,custom,Brokerage,1,84.0,1.0,1.0
2026895.0,59287,Sydney - Hills,dva,,1,0.0,0.77,0.77
2026896.0,38918,State - NSW,dva,,4,0.0,3.08,3.08
2026900.0,50935,NSW - CM - Tracey Isles,ndis,,2,421.38,6.0,6.0
2026901.0,51044,NSW - CM - Tracey Isles,ndis,,1,374.33,5.33,5.33
2026903.0,50983,Stream - NSW Aged Care,hcp,,1,570.0,5.0,5.0
2026904.0,51236,State - NSW,ndis,,2,258.58,4.0,4.0
2026909.0,51247,State - NSW,hcp,,1,324.0,3.0,3.0
2026950.0,66512,NSW - CM - Maryam Shamoon,dva,,1,0.0,0.52,0.52
2026950.0,66512,State - NSW,dva,,5,0.0,2.84,2.84
2026952.0,38639,NSW - CEM - Elaine Watkins,private_funding,,1,6774.0,12.0,12.0
2027032.0,51508,NSW - CM - Tracey Isles,ndis,,2,302.37,4.0,4.0
2027033.0,51223,NSW - CEM - Katie Hansen,ndis,,3,435.68,6.0,6.0
2028431.0,38837,State - NSW,dva,,1,0.0,12.0,12.0
2028437.0,38590,State - NSW,dva,,1,0.0,12.0,12.0
2028445.0,38905,Sydney - South West,dva,,1,0.0,12.0,12.0
2028446.0,38564,State - NSW,dva,,1,0.0,0.52,0.52
2028458.0,38888,State - NSW,dva,,1,0.0,12.0,12.0
2028461.0,38786,State - NSW,dva,,1,0.0,12.0,12.0
2028465.0,38849,State - NSW,dva,,1,0.0,12.0,12.0
2028466.0,38804,State - NSW,dva,,1,0.0,12.0,12.0
2028470.0,38832,State - NSW,dva,,1,0.0,12.0,12.0
2028508.0,38729,State - NSW,dva,,1,0.0,12.0,12.0
2028514.0,38819,State - NSW,dva,,1,0.0,12.0,12.0
2028532.0,38684,State - NSW,dva,,1,0.0,12.0,12.0
2028536.0,44202,State - NSW,dva,,1,0.0,12.0,12.0
2028568.0,38781,Sydney - South West,dva,,1,0.0,12.0,12.0
2028573.0,38598,State - NSW,hcp,,1,216.0,2.0,2.0
2028585.0,38661,Sydney - Nepean,dva,,1,0.0,12.0,12.0
2028606.0,51044,NSW - CM - Tracey Isles,ndis,,1,351.15,5.0,5.0
2028607.0,50935,NSW - CM - Tracey Isles,ndis,,2,561.84,8.0,8.0
2028608.0,51434,State - NSW,ndis,,3,410.21,6.0,6.0
2034039.0,38845,State - NSW,dva,,1,0.0,12.0,12.0
2034040.0,38897,State - NSW,dva,,1,0.0,12.0,12.0
2034044.0,38655,State - NSW,dva,,1,0.0,12.0,12.0
2034048.0,38564,State - NSW,dva,,1,0.0,0.52,0.52
2034062.0,38814,State - NSW,dva,,1,0.0,12.0,12.0
2034063.0,38904,State - NSW,dva,,1,0.0,12.0,12.0
2034065.0,38786,State - NSW,dva,,1,0.0,12.0,12.0
2034067.0,38849,State - NSW,dva,,1,0.0,12.0,12.0
2034098.0,38718,State - NSW,dva,,1,0.0,12.0,12.0
2034102.0,38703,State - NSW,dva,,1,0.0,12.0,12.0
2034103.0,38932,State - NSW,dva,,1,0.0,12.0,12.0
2034111.0,38813,State - NSW,dva,,1,0.0,12.0,12.0
2034117.0,38942,State - NSW,dva,,1,0.0,12.0,12.0
2034121.0,38781,State - NSW,dva,,1,0.0,10.25,10.25
2034125.0,38727,State - NSW,dva,,3,0.0,3.0,3.0
2034125.0,38727,State - NSW,private_funding,,1,577.5,7.0,7.0
2034127.0,38867,Sydney - South West,dva,,1,0.0,12.0,12.0
2034145.0,38929,State - NSW,dva,,1,0.0,12.0,12.0
2034170.0,38598,State - NSW,hcp,,1,216.0,2.0,2.0
2034170.0,38598,Stream - NSW Aged Care,hcp,,1,114.0,1.0,1.0
2034171.0,38598,State - NSW,hcp,,1,124.0,1.0,1.0
2034200.0,38615,State - NSW,hcp,,1,342.0,3.0,3.0
2034200.0,38615,Sydney - Hills,dva,,2,0.0,1.54,1.54
2034209.0,51273,NSW - CM - Tracey Isles,ndis,,1,351.15,5.0,5.0
2034219.0,51247,State - NSW,hcp,,1,324.0,3.0,3.0
2034219.0,51247,Stream - NSW Aged Care,hcp,,1,324.0,3.0,3.0
2034295.0,51467,State - NSW,custom,LHD,5,284.76,4.0,4.0
2034295.0,51467,Sydney - SLHD,custom,LHD,1,71.19,1.0,1.0
2034439.0,51534,State - NSW,dva,,2,0.0,12.0,12.0
2034442.0,51202,NSW - CEM - Katie Hansen,ndis,,2,295.22,4.0,4.0
2034492.0,56232,State - NSW,dva,,4,0.0,3.06,3.06
2039177.0,38564,State - NSW,dva,,1,0.0,0.52,0.52
2039180.0,38590,State - NSW,hcp,,1,124.0,1.0,1.0
2039188.0,38786,State - NSW,dva,,1,0.0,12.0,12.0
2039189.0,38785,NSW - CEM - Elaine Watkins,private_funding,,1,191.0,2.0,2.0
2039190.0,38942,State - NSW,dva,,1,0.0,12.0,12.0
2039191.0,38709,State - NSW,dva,,1,0.0,12.0,12.0
2039194.0,38749,State - NSW,dva,,1,0.0,12.0,12.0
2039197.0,38748,State - NSW,dva,,1,0.0,12.0,12.0
2039219.0,38757,Sydney - East,dva,,1,0.0,12.0,12.0
2039221.0,38884,State - NSW,dva,,1,0.0,12.0,12.0
2039222.0,38767,State - NSW,dva,,1,0.0,12.0,12.0
2039226.0,38896,NSW - CEM - Elaine Watkins,private_funding,,2,1016.0,12.0,12.0
2039238.0,38813,State - NSW,dva,,1,0.0,12.0,12.0
2039260.0,38746,State - NSW,dva,,1,0.0,12.0,12.0
2039262.0,38844,Sydney - South West,dva,,1,0.0,12.0,12.0
2039268.0,38788,State - NSW,dva,,1,0.0,11.25,11.25
2039291.0,38809,State - NSW,dva,,3,0.0,3.0,3.0
2039291.0,38809,State - NSW,private_funding,,1,577.5,7.0,7.0
2039320.0,38590,State - NSW,hcp,,1,216.0,2.0,2.0
2039337.0,38890,State - NSW,dva,,4,0.0,4.0,4.0
