id,Email,$currency_symbol,$field_states,Account_Type,Referral_Source,Last_Activity_Time,Industry,Additional_Notes,$state,$process_flow,Subsidiary,$locked_for_me,$approved,Created_Time,$editable,City,Postcode,Pillar,State,Country,Parent_Company_1,$zia_owner_assignment,Annual_Revenue,Account_Statuses,$is_duplicate,Contact_Type_Business,Description,Website,Funding_Source_who_is_paying_for_services,Record_Image,$review,Phone,Account_Name,Modified_Time,Funnel_Status,Sector,Relationship_to_the_person_you_are_enquiring_for,How_did_you_hear_about_us,Line_2,Mobile,Line_1,$orchestration,$in_merge,Which_service_are_you_interested_in,Locked__s,Tag,$approval_state,Owner__name,Owner__id,Owner__email,$approval__delegate,$approval__takeover,$approval__approve,$approval__reject,$approval__resubmit,Created_By__name,Created_By__id,Created_By__email,$review_process__approve,$review_process__reject,$review_process__resubmit,$layout_id__display_label,$layout_id__name,$layout_id__id,Modified_By__name,Modified_By__id,Modified_By__email,Parent_Company_1__name,Parent_Company_1__id
84257000004118131,info@perfectcare.net.au,$,,,,,,,save,False,,False,True,2026-02-05T11:53:48+11:00,True,,,Disability,VIC,,,owner_recommendation_unavailable,,,False,B2B,,https://perfectcare.net.au/,Disability Care,,,97692101,Perfect Care Pty Ltd,2026-02-05T11:53:48+11:00,SQL,,,,,,,False,False,,False,[],approved,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,False,False,False,False,False,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,,
84257000004118114,admin@elvescare.com.au,$,,,,,,,save,False,,False,True,2026-02-05T11:50:29+11:00,True,,,Disability,VIC,,,owner_recommendation_unavailable,,Active,False,B2B,,https://www.elvescare.com.au/contact/,,,,1300181351,Elvescare - Disabilty support,2026-02-05T11:50:29+11:00,SQL,Disability,,,,,,False,False,,False,[],approved,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,False,False,False,False,False,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,,
84257000004118081,,$,,Other,,2026-02-06T11:51:56+11:00,hospital & health care,,save,False,,False,True,2026-02-05T09:01:44+11:00,True,Hawthorn,3122,Disability,VIC,,,owner_recommendation_unavailable,,Active,False,B2B,,https://www.epworth.org.au/our-locations/epworth-hawthorn,,,,03 9415 5777,Epworth Hospital Hawthorn,2026-02-06T09:17:39+11:00,SQL,Disability,,,,,50 Burwood Rd,False,False,,False,[],approved,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,False,False,False,False,False,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,Epworth,84257000001404180
84257000004118057,listenandheard@outlook.com,$,,Other,,2026-02-05T08:43:44+11:00,,connection made at Casey disability expo,save,False,,False,True,2026-02-05T08:41:54+11:00,True,,,Disability,,,,owner_recommendation_unavailable,,Active,False,B2B,CEM Melisa has booked coffee catch up with Jacinda 11/02/26,https://www.google.com/search?q=listen+and+heard&rlz=1C1GCEA_enAU1172AU1172&oq=listen+a&gs_lcrp=EgZjaHJvbWUqDggAEEUYJxg7GIAEGIoFMg4IABBFGCcYOxiABBiKBTIGCAEQRRg5MgcIAhAAGIAEMgcIAxAAGIAEMgcIBBAAGIAEMgcIBRAAGIAEMgcIBhAAGIAEMgcIBxAAGIAEMhAICBAuGK8BGMcBGIAEGI4,,,,,Listen and Heard Support Coordination,2026-02-05T08:43:44+11:00,SQL,Disability,,,,,,False,False,,False,[],approved,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,False,False,False,False,False,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,,
84257000004048086,manager@vermontretire.com.au,$,,Customer,Business Development Partner,,hospital & health care,,save,False,,False,True,2026-02-03T15:24:50+11:00,True,Vermont South,3133,Aged,Victoria,Australia,,owner_recommendation_unavailable,,,False,B2B,Part of Retirement Village Services Association Inc,www.retire.com.au,Home Care Package,,,03 9801 8364,Vermont Retirement Village Services Association Inc,2026-02-03T15:24:50+11:00,Prospect,HCP,,,562-584 Burwood Highway,,562-584 Burwood Highway,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,Vermont Retirement Village Services Association Inc,84257000004048061
84257000004048061,,$,,,,2026-02-03T15:21:48+11:00,,,save,False,,False,True,2026-02-03T15:20:07+11:00,True,,,,,,,owner_recommendation_unavailable,,,False,,,www.retire.com.au,,,,0398018364,Vermont Retirement Village Services Association Inc,2026-02-03T15:20:07+11:00,,,,,,,,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000003929085,,$,,Customer,Business Development Partner,,hospital & health care,,save,False,Lumia Care,False,True,2026-01-29T12:15:14+11:00,True,Camberwell,3124,Aged,Victoria,Australia,,owner_recommendation_unavailable,,Active,False,B2B,One of the largest AGED Care Groups in Australia-Potential meeting,www.regis.com.au,Private,,,1300 998 100,REGIS HEAD OFFICE,2026-01-29T12:15:14+11:00,Prospect,Aged,,,,,level 2/293 Camberwell Road,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,Regis,84257000003929080
84257000003929080,,$,,,,,,,save,False,,False,True,2026-01-29T12:15:07+11:00,True,,,,,,,owner_recommendation_unavailable,,,False,,,www.regis.com.au,,,,1300998100,Regis,2026-01-29T12:15:07+11:00,,,,,,,,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000003881018,,$,,,,,,,save,False,,False,True,2026-01-23T15:03:41+11:00,True,Kidman Park,5025,,B2B,,,owner_recommendation_unavailable,,,False,,,,,,,08 8334 9855,365 Days Medical Centre,2026-01-23T15:03:41+11:00,,,,Other,,,306 Grange Road,False,False,,False,[],approved,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,False,False,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Charlie Rose,84257000000295001,crose@lumiacare.com.au,,
84257000003875004,patricia.ash@centennialliving.com.au,$,,Customer,Business Development Partner,2026-01-23T12:12:26+11:00,,,save,False,,False,True,2026-01-23T11:08:16+11:00,True,Tarneit,3029,,Victoria,Australia,,owner_recommendation_unavailable,,Active,False,B2B,Part of Centennial Living Group,www.centennialliving.com.au,Home Care Package,,,03 8754 1201,Wyndham Grange Village,2026-01-23T11:08:16+11:00,Prospect,HCP,,,,,83 Kulin Drive,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,Centennial Living,84257000003836008
84257000003836626,,$,,Customer,Business Development Partner,,hospital & health care,,save,False,Lumia Care,False,True,2026-01-21T12:51:54+11:00,True,Lilydale,3140,Aged,Victoria,Australia,,owner_recommendation_unavailable,,Active,False,B2B,Retirement Village,lilydalevalleyviews.com.au,HCP,,,03 9735 5944,Lilydale Valley Views,2026-01-21T12:51:54+11:00,Prospect,"Aged, Vets, Disability.",,,,,471 Maroondah Hoghway,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000003836616,,$,,,,,,,save,False,,False,True,2026-01-21T12:51:41+11:00,True,,,,,,,,,,False,,,lilydalevalleyviews.com.au,,,,,Lilydale Valley Views,2026-01-21T12:51:41+11:00,,,,,,,,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000003836325,,$,,Customer,Business Development Partner,,,,save,False,,False,True,2026-01-20T16:21:36+11:00,True,Mornington,3931,,VICTORIA,Australia,,owner_recommendation_unavailable,,Active,False,B2B,Part of Australian Unity Chain,www.australianunity.com.au,Home Care Package,,,03 5978 3466,Peninsula Grange Retirement Village,2026-01-20T16:21:36+11:00,Prospect,HCP,,,,,431 Racecource Road,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,Australian Unity,84257000003836223
84257000003836284,,$,,Customer,Business Development Partner,,,,save,False,,False,True,2026-01-20T15:56:48+11:00,True,Bittern,3918,,Victoria,Australia,,owner_recommendation_unavailable,,Active,False,B2B,Part of MRLC-Retirement Village Group,www.mrlc.com.au,Home Care Package,,,0359836767,Western Cove & Western Port Gardens,2026-01-20T15:56:48+11:00,Prospect,HCP,,,,,2460 Frankston-Flinders Road,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,MRLC,84257000003836264
84257000003836264,,$,,,,,,,save,False,,False,True,2026-01-20T15:53:22+11:00,True,,,,,,,,,,False,,,www.mrlc.com.au,,,,03 5983 6767,MRLC,2026-01-20T15:53:22+11:00,,,,,,,,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000003836223,,$,,,,2026-01-20T15:50:49+11:00,,,save,False,,False,True,2026-01-20T15:38:20+11:00,True,,,,,,,,,,False,,,www.australianunity.com.au,,,,13 29 39,Australian Unity,2026-01-20T15:38:20+11:00,,,,,,,,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000003836057,,$,,Customer,Business Development Partner,2026-01-20T15:33:57+11:00,,,save,False,,False,True,2026-01-20T15:28:22+11:00,True,Somerville,3912,Aged,Victoria,Australia,,owner_recommendation_unavailable,,Active,False,B2B,Retirement Village,stjohnsvillage.net.au,Home Care Package,,,03 5977 6955,St John's Village,2026-01-20T15:28:22+11:00,Prospect,Aged,,,,,45 Park Lane,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000003836008,,$,,,,,,,save,False,,False,True,2026-01-20T15:17:55+11:00,True,,,,,,,,,,False,,,www.centennialliving.com.au,,,,,Centennial Living,2026-01-20T15:17:55+11:00,,,,,,,,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000003750055,,$,,Partner,,2026-01-16T10:32:20+11:00,,,save,False,,False,True,2026-01-16T10:12:23+11:00,True,Adelaide,5007,,B2B,Australia,,owner_recommendation_unavailable,,,False,,,,,,,8424 6160,Novita Tech,2026-01-16T10:31:11+11:00,,Disability,,Other,,,31 Manton St,False,False,,False,[],approved,Madi Rayner,84257000003678277,madi@popuphealth.com.au,False,False,False,False,False,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Madi Rayner,84257000003678277,madi@popuphealth.com.au,,
84257000003738031,,$,,,,2026-01-14T11:38:55+11:00,,,save,False,,False,True,2026-01-14T11:36:16+11:00,True,,,,B2B,,,owner_recommendation_unavailable,,,False,,,,,,,1300633063,Medimart,2026-01-14T11:36:16+11:00,,,,Other,,,,False,False,,False,[],approved,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,False,False,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Charlie Rose,84257000000295001,crose@lumiacare.com.au,,
84257000003732155,,$,,,,,,,save,False,,False,True,2026-01-16T10:28:37+11:00,True,Tea Tree Gully,5092,,B2B,,,owner_recommendation_unavailable,,,False,,,,,,,08 8264 2300,North Eastern Health Centre,2026-01-16T10:28:37+11:00,,,,Other,,,1299 North East Road,False,False,,False,[],approved,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,False,False,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Charlie Rose,84257000000295001,crose@lumiacare.com.au,,
84257000003728229,,$,,Partner,,,,,save,False,,False,True,2026-01-16T11:14:40+11:00,True,Magill,5072,,South Australia,Australia,,owner_recommendation_unavailable,,,False,B2B,,https://www.connexionone.com.au/,NDIS,,,08 8331 0047,Connexion_One,2026-01-16T11:14:40+11:00,,Disability,,,,0447 512 357,545 Magill Rd,False,False,,False,[],approved,Madi Rayner,84257000003678277,madi@popuphealth.com.au,False,False,False,False,False,Madi Rayner,84257000003678277,madi@popuphealth.com.au,False,False,False,Standard,Standard,84257000000000627,Madi Rayner,84257000003678277,madi@popuphealth.com.au,,
84257000003728202,info@baptcare.org.au,$,,Partner,,,,,save,False,,False,True,2026-01-16T11:06:28+11:00,True,Campbelltown,5074,,South Australia,Australia,,owner_recommendation_unavailable,,,False,B2B,,https://www.baptcare.org.au/,NDIS,,,9831 7222,BaptCare,2026-01-16T11:06:28+11:00,,Disability,,,,,637 Lower North East Rd,False,False,,False,[],approved,Madi Rayner,84257000003678277,madi@popuphealth.com.au,False,False,False,False,False,Madi Rayner,84257000003678277,madi@popuphealth.com.au,False,False,False,Standard,Standard,84257000000000627,Madi Rayner,84257000003678277,madi@popuphealth.com.au,BaptistCare,84257000003031196
84257000003340001,,$,,,,2025-12-18T12:14:18+11:00,,,save,False,,False,True,2025-12-18T12:12:57+11:00,True,,5112,,B2B,,,owner_recommendation_unavailable,,Active,False,,,,,,,1300 727 957,Lives Lived Well,2025-12-18T12:14:18+11:00,,,,,,,,False,False,,False,[],approved,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,False,False,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Vicki Dunning,84257000002120004,vickid@popuphealth.com.au,,
84257000003337001,,$,,,,,,,save,False,,False,True,2025-12-18T12:01:01+11:00,True,,5251,,B2B,,,owner_recommendation_unavailable,,,False,,,,,,,08 8393 1712,Mt Barker Hospital,2025-12-18T12:01:01+11:00,,,,,,,,False,False,,False,[],approved,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,False,False,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Charlie Rose,84257000000295001,crose@lumiacare.com.au,,
84257000003324003,,$,,,,,,,save,False,,False,True,2025-12-18T11:55:02+11:00,True,,,,B2B,,,owner_recommendation_unavailable,,,False,,,,,,,,Marion Bowling Club,2025-12-18T11:55:02+11:00,,,,Other,,,,False,False,,False,[],approved,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,False,False,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Charlie Rose,84257000000295001,crose@lumiacare.com.au,,
84257000003211005,,$,,,,,,,save,False,,False,True,2025-12-11T16:10:11+11:00,True,,3931,,B2B,,,owner_recommendation_unavailable,,,False,,,,,,,03 5971 0068,Beleura Village,2025-12-11T16:10:11+11:00,,,,,,,,False,False,,False,[],approved,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,False,False,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Charlie Rose,84257000000295001,crose@lumiacare.com.au,,
84257000003185071,,$,,,,2025-12-15T16:20:29+11:00,,,save,False,,False,True,2025-12-15T16:18:30+11:00,True,,,,,,,,,,False,,,,,,,0413 745 182,THE KK FACTOR,2025-12-15T16:18:30+11:00,,,,,,,,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000003185030,,$,,,,2025-12-15T16:14:57+11:00,,,save,False,,False,True,2025-12-15T16:10:03+11:00,True,,,,,,,,,,False,,,vmch.com.au,,,,03 8581 0600,Corpus Christi,2025-12-15T16:10:03+11:00,,,,,,,,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000003185015,atalvy@mnd.org.au,$,,,,,,,save,False,,False,True,2025-12-12T10:43:43+11:00,True,,,,B2B,,,owner_recommendation_unavailable,,,False,,,,,,,,Alex Talvy,2025-12-12T10:43:43+11:00,,,,Other,,0403066371,,False,False,,False,[],approved,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,False,False,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Charlie Rose,84257000000295001,crose@lumiacare.com.au,,
84257000003146061,,$,,,,2025-12-10T15:29:31+11:00,,,save,False,,False,True,2025-12-10T15:28:28+11:00,True,,,,,,,,,,False,,,www.juliefisher.com.au,,,,0439557690,RPP FM,2025-12-10T15:28:28+11:00,,,,,,,,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000003143135,,$,,,,2025-12-10T15:33:54+11:00,,,save,False,,False,True,2025-12-10T15:31:45+11:00,True,,3931,,B2B,,,owner_recommendation_unavailable,,,False,,,,,,,03 5975 2009,The Bays Hospital,2025-12-10T15:31:45+11:00,,,,,,,,False,False,,False,[],approved,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,False,False,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Charlie Rose,84257000000295001,crose@lumiacare.com.au,,
